Sample_Name,Seq_ID
F10.fastq.gz,PN5_SID454.fastq.gz
F11.fastq.gz,PN5_SID455.fastq.gz
F12.fastq.gz,PN5_SID456.fastq.gz
G01.fastq.gz,PN5_SID457.fastq.gz
G02.fastq.gz,PN5_SID458.fastq.gz
G03.fastq.gz,PN5_SID459.fastq.gz
G04.fastq.gz,PN5_SID460.fastq.gz
G05.fastq.gz,PN5_SID461.fastq.gz
G06.fastq.gz,PN5_SID462.fastq.gz
G07.fastq.gz,PN5_SID463.fastq.gz
G08.fastq.gz,PN5_SID464.fastq.gz
G09.fastq.gz,PN5_SID465.fastq.gz
G10.fastq.gz,PN5_SID466.fastq.gz
G11.fastq.gz,PN5_SID467.fastq.gz
G12.fastq.gz,PN5_SID468.fastq.gz
H01.fastq.gz,PN5_SID469.fastq.gz
H02.fastq.gz,PN5_SID470.fastq.gz
H03.fastq.gz,PN5_SID471.fastq.gz
H04.fastq.gz,PN5_SID472.fastq.gz
H05.fastq.gz,PN5_SID473.fastq.gz
H06.fastq.gz,PN5_SID474.fastq.gz
H07.fastq.gz,PN5_SID475.fastq.gz
H08.fastq.gz,PN5_SID476.fastq.gz
H09.fastq.gz,PN5_SID477.fastq.gz
H10.fastq.gz,PN5_SID478.fastq.gz
H11.fastq.gz,PN5_SID479.fastq.gz
H12.fastq.gz,PN5_SID480.fastq.gz
A01.fastq.gz,PN6_SID481.fastq.gz
A02.fastq.gz,PN6_SID482.fastq.gz
A03.fastq.gz,PN6_SID483.fastq.gz
A04.fastq.gz,PN6_SID484.fastq.gz
A05.fastq.gz,PN6_SID485.fastq.gz
A06.fastq.gz,PN6_SID486.fastq.gz
A07.fastq.gz,PN6_SID487.fastq.gz
A08.fastq.gz,PN6_SID488.fastq.gz
A09.fastq.gz,PN6_SID489.fastq.gz
A10.fastq.gz,PN6_SID490.fastq.gz
A11.fastq.gz,PN6_SID491.fastq.gz
A12.fastq.gz,PN6_SID492.fastq.gz
B01.fastq.gz,PN6_SID493.fastq.gz
B02.fastq.gz,PN6_SID494.fastq.gz
B03.fastq.gz,PN6_SID495.fastq.gz
B04.fastq.gz,PN6_SID496.fastq.gz
B05.fastq.gz,PN6_SID497.fastq.gz
B06.fastq.gz,PN6_SID498.fastq.gz
B07.fastq.gz,PN6_SID499.fastq.gz
B08.fastq.gz,PN6_SID500.fastq.gz
B09.fastq.gz,PN6_SID501.fastq.gz
B10.fastq.gz,PN6_SID502.fastq.gz
B11.fastq.gz,PN6_SID503.fastq.gz
B12.fastq.gz,PN6_SID504.fastq.gz
C01.fastq.gz,PN6_SID505.fastq.gz
C02.fastq.gz,PN6_SID506.fastq.gz
C03.fastq.gz,PN6_SID507.fastq.gz
C04.fastq.gz,PN6_SID508.fastq.gz
C05.fastq.gz,PN6_SID509.fastq.gz
C06.fastq.gz,PN6_SID510.fastq.gz
C07.fastq.gz,PN6_SID511.fastq.gz
C08.fastq.gz,PN6_SID512.fastq.gz
C09.fastq.gz,PN6_SID513.fastq.gz
C10.fastq.gz,PN6_SID514.fastq.gz
C11.fastq.gz,PN6_SID515.fastq.gz
C12.fastq.gz,PN6_SID516.fastq.gz
D01.fastq.gz,PN6_SID517.fastq.gz
D02.fastq.gz,PN6_SID518.fastq.gz
D03.fastq.gz,PN6_SID519.fastq.gz
D04.fastq.gz,PN6_SID520.fastq.gz
D05.fastq.gz,PN6_SID521.fastq.gz
D06.fastq.gz,PN6_SID522.fastq.gz
D07.fastq.gz,PN6_SID523.fastq.gz
D08.fastq.gz,PN6_SID524.fastq.gz
D09.fastq.gz,PN6_SID525.fastq.gz
D10.fastq.gz,PN6_SID526.fastq.gz
D11.fastq.gz,PN6_SID527.fastq.gz
